schema_version,run_id,workload_id,workload_name,dataset_id,model_name,model_params_b,architecture,quantization,backend,flash_mode,pipeline,n_ctx,prefix_tokens,compactable_tokens,live_suffix_tokens,compression_ratio,compacted_tokens,continuation_tokens,prefill_ms,prefill_tok_s,compaction_time_ms,query_generation_time_ms,solver_time_ms,first_token_ms,baseline_decode_tok_s,compacted_decode_tok_s,throughput_delta_pct,active_n_kv,allocated_kv_bytes,reclaimed_kv_bytes,logit_cosine,task_metric_name,task_metric_value,quality_correct,quality_total,quality_accuracy,quality_baseline_accuracy,longhealth_correct,longhealth_total,longhealth_accuracy,longhealth_baseline_accuracy,threshold_name,threshold_value,pass,fallback_used,fallback_reason,crash,error_text,artifact_path
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,2,2621,16,23002.7,284.9,825.0,0.0,0.0,167.3,18.7,6.0,-68.0087,1536,,,0.996820,,,,,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,4,1310,16,23032.6,284.5,703.6,0.0,0.0,128.6,18.8,7.8,-58.5784,1536,,,0.991089,,,,,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,8,655,16,23035.0,284.5,620.9,0.0,0.0,111.0,18.8,9.0,-51.9637,1536,,,0.985472,,,,,,,,,,,W2:logit_cosine:8,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,16,327,16,23006.8,284.8,593.5,0.0,0.0,100.2,18.8,10.0,-46.7839,1536,,,0.943027,,,,,,,,,,,W2:logit_cosine:16,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,32,163,16,23015.9,284.7,582.4,0.0,0.0,95.5,18.8,10.5,-44.2397,1536,,,0.961860,,,,,,,,,,,W2:logit_cosine:32,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,8192,6553,5242,1311,50,104,16,23054.7,284.2,563.8,0.0,0.0,92.7,18.8,10.8,-42.5814,1536,,,0.964714,,,,,,,,,,,W2:logit_cosine:50,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,2,5242,16,59664.6,219.7,2048.0,0.0,0.0,334.0,13.0,3.0,-77.0438,2816,,,0.999570,,,,,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,4,2621,16,59722.0,219.5,1817.5,0.0,0.0,219.8,13.0,4.5,-65.1084,2816,,,0.998943,,,,,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,8,1310,16,59807.2,219.2,1721.1,0.0,0.0,182.7,13.1,5.5,-58.0814,2816,,,0.998541,,,,,,,,,,,W2:logit_cosine:8,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,16,655,16,59754.3,219.3,1435.0,0.0,0.0,162.2,13.0,6.2,-52.6883,2816,,,0.998400,,,,,,,,,,,W2:logit_cosine:16,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,32,327,16,59598.1,219.9,1491.9,0.0,0.0,152.2,13.0,6.6,-49.2909,2816,,,0.997682,,,,,,,,,,,W2:logit_cosine:32,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,16384,13107,10485,2622,50,209,16,59743.7,219.4,1459.4,0.0,0.0,146.2,13.0,6.8,-47.3453,2816,,,0.997730,,,,,,,,,,,W2:logit_cosine:50,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,2,10485,16,171976.8,152.4,5135.1,0.0,0.0,667.7,8.0,1.5,-81.3028,5376,,,0.993230,,,,,,,,,,,W2:logit_cosine:2,0.9500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,4,5242,16,170848.8,153.4,3853.9,0.0,0.0,412.5,8.1,2.4,-70.0497,5376,,,0.939851,,,,,,,,,,,W2:logit_cosine:4,0.9000,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,8,2621,16,171109.8,153.2,3770.3,0.0,0.0,336.6,8.1,3.0,-63.2427,5376,,,0.949386,,,,,,,,,,,W2:logit_cosine:8,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,16,1310,16,171628.3,152.7,3519.4,0.0,0.0,287.1,7.7,3.5,-54.9134,5376,,,0.950715,,,,,,,,,,,W2:logit_cosine:16,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,32,655,16,171393.6,152.9,3198.2,0.0,0.0,265.0,8.1,3.8,-53.1362,5376,,,0.955604,,,,,,,,,,,W2:logit_cosine:32,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,select,32768,26214,20971,5243,50,419,16,171599.3,152.8,3410.1,0.0,0.0,257.8,8.0,3.9,-51.7152,5376,,,0.962411,,,,,,,,,,,W2:logit_cosine:50,0.8500,true,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,2,1310,16,10413.7,314.6,503027.6,77671.6,425158.8,116.0,23.9,8.6,-63.9661,768,,,0.710430,,,,,,,,,,,W2:logit_cosine:2,0.9500,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,4,655,16,10427.6,314.2,247873.5,80943.6,166755.1,87.3,24.1,11.5,-52.4447,768,,,0.111505,,,,,,,,,,,W2:logit_cosine:4,0.9000,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,8,327,16,10400.4,315.0,205560.9,82566.2,122824.3,75.5,24.1,13.3,-45.0587,768,,,0.203042,,,,,,,,,,,W2:logit_cosine:8,0.8500,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,16,163,16,10565.6,310.1,194417.0,82910.4,111337.0,67.7,24.2,14.8,-38.9038,768,,,0.229545,,,,,,,,,,,W2:logit_cosine:16,0.8500,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,32,81,16,10399.8,315.0,189679.5,82464.0,107045.3,65.7,24.1,15.2,-36.7636,768,,,0.215997,,,,,,,,,,,W2:logit_cosine:32,0.8500,false,false,,false,,
1,20260312-075412-5510b88c-Ajays-MacBook,W2,standard,sec-10k-filings,Qwen3-8B-Q4_K_M,8.0,Dense GQA,Q4_K_M,metal,off,self_study,4096,3276,2620,656,50,52,16,10508.4,311.8,189578.8,83018.0,106393.8,63.9,23.7,15.6,-34.0977,768,,,0.168134,,,,,,,,,,,W2:logit_cosine:50,0.8500,false,false,,false,,
