active_n_kv,architecture,baseline_decode_tok_s,compacted_decode_tok_s,compaction_time_ms,compression_ratio,decode_tok_s,decode_tokens,engine,logit_cosine,model,model_params_b,n_ctx,pass,pipeline,prefill_tok_s,prompt_tokens,quantization,test_type
2816,qwen3,7.2,0.8,4614.1,2,,,modelai-compact,0.997806,qwen3-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,7.5,3.2,2782.8,4,,,modelai-compact,0.992896,qwen3-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,7.3,3.9,2729.8,8,,,modelai-compact,0.973016,qwen3-14b,14.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,7.2,4.8,225639.7,4,,,modelai-compact,0.523308,qwen3-14b,14.0,16384,False,nonuniform,,,Q4_K_M,compaction
,qwen3-moe,,,,1,44.37,128,ollama,,qwen3-30b-a3b,30.0,,True,,309.1,651,Q4_K_M,inference
,qwen3-moe,,,,1,3.2,128,ollama,,qwen3-30b-a3b,30.0,,True,,16.32,2571,Q4_K_M,inference
,qwen3-moe,,,,2,,,modelai-compact,,qwen3-30b-a3b,30.0,4096,False,select,,,Q4_K_M,compaction
,qwen3-moe,,,,4,,,modelai-compact,,qwen3-30b-a3b,30.0,4096,False,select,,,Q4_K_M,compaction
,qwen3-moe,,,,8,,,modelai-compact,,qwen3-30b-a3b,30.0,4096,False,select,,,Q4_K_M,compaction
768,qwen3-moe,30.0,18.1,48169.6,4,,,modelai-compact,0.91433,qwen3-30b-a3b,30.0,4096,True,nonuniform,,,Q4_K_M,compaction
1536,qwen3-moe,20.4,8.2,750.3,2,,,modelai-compact,0.999801,qwen3-30b-a3b,30.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3-moe,19.6,10.5,539.8,4,,,modelai-compact,0.999554,qwen3-30b-a3b,30.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3-moe,19.3,12.4,495.3,8,,,modelai-compact,0.999418,qwen3-30b-a3b,30.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3-moe,18.9,10.7,155584.4,4,,,modelai-compact,0.939586,qwen3-30b-a3b,30.0,8192,True,nonuniform,,,Q4_K_M,compaction
2816,qwen3-moe,11.8,3.2,1901.5,2,,,modelai-compact,0.999709,qwen3-30b-a3b,30.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3-moe,11.5,5.3,1527.9,4,,,modelai-compact,0.999484,qwen3-30b-a3b,30.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3-moe,11.6,7.2,1194.9,8,,,modelai-compact,0.999493,qwen3-30b-a3b,30.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3-moe,12.7,5.2,495362.7,4,,,modelai-compact,0.966461,qwen3-30b-a3b,30.0,16384,True,nonuniform,,,Q4_K_M,compaction
,qwen3,,,,1,26.86,128,ollama,,qwen3-8b,8.0,,True,,286.26,651,Q4_K_M,inference
,qwen3,,,,1,27.16,128,llama.cpp,,qwen3-8b,8.0,,True,,294.93,512,Q4_K_M,inference
,qwen3,,,,1,27.18,128,modelai-llama.cpp,,qwen3-8b,8.0,,True,,294.32,512,Q4_K_M,inference
,qwen3,,,,1,26.08,128,ollama,,qwen3-8b,8.0,,True,,368.88,2571,Q4_K_M,inference
,qwen3,,,,1,27.33,128,llama.cpp,,qwen3-8b,8.0,,True,,283.62,2048,Q4_K_M,inference
,qwen3,,,,1,26.51,128,modelai-llama.cpp,,qwen3-8b,8.0,,True,,283.63,2048,Q4_K_M,inference
,qwen3,,,,1,23.54,128,ollama,,qwen3-8b,8.0,,True,,528.9,5131,Q4_K_M,inference
,qwen3,,,,1,26.67,128,llama.cpp,,qwen3-8b,8.0,,True,,265.58,4096,Q4_K_M,inference
,qwen3,,,,1,26.21,128,modelai-llama.cpp,,qwen3-8b,8.0,,True,,265.77,4096,Q4_K_M,inference
768,qwen3,21.3,9.4,511.1,2,,,modelai-compact,0.999548,qwen3-8b,8.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,21.4,11.5,360.8,4,,,modelai-compact,0.998645,qwen3-8b,8.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,21.3,13.0,334.0,8,,,modelai-compact,0.996505,qwen3-8b,8.0,4096,True,select,,,Q4_K_M,compaction
768,qwen3,20.6,12.6,57627.3,4,,,modelai-compact,0.637366,qwen3-8b,8.0,4096,False,nonuniform,,,Q4_K_M,compaction
1536,qwen3,17.2,5.7,929.8,2,,,modelai-compact,0.999189,qwen3-8b,8.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,17.1,7.3,753.2,4,,,modelai-compact,0.998334,qwen3-8b,8.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,16.7,8.4,905.3,8,,,modelai-compact,0.997211,qwen3-8b,8.0,8192,True,select,,,Q4_K_M,compaction
1536,qwen3,17.0,8.7,97093.1,4,,,modelai-compact,0.874308,qwen3-8b,8.0,8192,False,nonuniform,,,Q4_K_M,compaction
2816,qwen3,11.7,2.3,3025.9,2,,,modelai-compact,0.999622,qwen3-8b,8.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,11.9,4.3,1924.3,4,,,modelai-compact,0.999156,qwen3-8b,8.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,12.0,5.3,1578.2,8,,,modelai-compact,0.998741,qwen3-8b,8.0,16384,True,select,,,Q4_K_M,compaction
2816,qwen3,11.9,5.7,209914.8,4,,,modelai-compact,0.968404,qwen3-8b,8.0,16384,True,nonuniform,,,Q4_K_M,compaction
